endTime,artistName,trackName,msPlayed
2020-01-11 12:14,Worakls,Bleu,466224
2020-01-11 12:28,NTO,The Morning After,408595
2020-01-11 12:35,NTO,La clé des champs,416000
2020-01-11 12:43,NTO,Alter Ego,444878
2020-01-11 13:14,Joachim Pastor,Reykjavik,198487
2020-01-11 13:29,Joachim Pastor,Reykjavik,259345
2020-01-11 13:36,Joachim Pastor,Millenium,421935
2020-01-11 13:42,Sasha,View 2 - Colin Benders Remix,389983
2020-01-11 13:48,10dens,Scila,337674
2020-01-11 13:54,10dens,Scila,337674
2020-01-11 14:00,10dens,If Only,390000
2020-01-11 14:20,AKA AKA,Narcotica,123158
2020-01-11 15:15,Gemischtes Hack,#34 DIE GEILE BLUMEN-SEX-OMA,1914130
2020-01-11 19:23,Gemischtes Hack,#34 DIE GEILE BLUMEN-SEX-OMA,984240
2020-01-11 19:27,Gemischtes Hack,#34 DIE GEILE BLUMEN-SEX-OMA,204748
2020-01-12 04:03,Mobb Deep,"Shook Ones, Pt. II",8346
2020-01-12 04:06,Samra,Wieder Lila,188057
2020-01-12 04:09,Samra,Cataleya,171681
2020-01-12 04:13,Trettmann,Knöcheltief,23260
2020-01-12 04:13,Marteria,Chardonnay & Purple Haze,237683
2020-01-12 04:17,Haftbefehl,069,222767
2020-01-12 04:19,KitschKrieg,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",90368
2020-01-12 04:22,Samra,Wieder Lila,188057
2020-01-12 04:25,Samra,Cataleya,171681
2020-01-12 04:26,Marteria,Chardonnay & Purple Haze,66517
2020-01-12 04:40,Marteria,Chardonnay & Purple Haze,14284
2020-01-12 04:47,Gemischtes Hack,#34 DIE GEILE BLUMEN-SEX-OMA,378500
2020-01-12 04:57,Gemischtes Hack,#35 HITZEFREI,437908
2020-01-12 04:57,Trettmann,Knöcheltief,1387
2020-01-12 04:57,Samra,Cataleya,3177
2020-01-12 04:57,Marteria,Chardonnay & Purple Haze,1271
2020-01-12 05:01,Haftbefehl,069,215098
2020-01-12 05:01,KitschKrieg,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",2701
2020-01-12 05:02,Samra,Cataleya,64623
2020-01-12 05:09,NTO,La clé des champs,416000
2020-01-12 05:12,NTO,Alter Ego,170558
2020-01-12 15:51,Gemischtes Hack,#35 HITZEFREI,198720
2020-01-12 16:13,Gemischtes Hack,#35 HITZEFREI,1047936
2020-01-12 21:25,Gemischtes Hack,#35 HITZEFREI,101363
2020-01-12 21:30,Gemischtes Hack,#36 DAS SEX-FÜHRER-PRINZIP,3859
2020-01-12 21:33,Milky Chance,The Game,213280
2020-01-12 21:38,Milky Chance,Cocoon,255142
2020-01-12 21:41,Milky Chance,The Game,213280
2020-01-12 21:45,Milky Chance,Fado,209950
2020-01-12 21:56,Roland Kaiser,Warum hast Du nicht nein gesagt - Club Mix,433209
2020-01-12 22:01,Roland Kaiser,Warum hast Du nicht nein gesagt - Club Mix,216766
2020-01-12 22:53,Gemischtes Hack,#36 DAS SEX-FÜHRER-PRINZIP,2424309
2020-01-13 07:36,Gemischtes Hack,#36 DAS SEX-FÜHRER-PRINZIP,358884
2020-01-13 08:12,Gemischtes Hack,#36 DAS SEX-FÜHRER-PRINZIP,1015405
2020-01-13 16:21,Gemischtes Hack,#36 DAS SEX-FÜHRER-PRINZIP,933264
2020-01-13 16:42,Gemischtes Hack,#37 CHEMNITZ UND JAN ULLRICH,1238939
2020-01-13 19:03,Gemischtes Hack,#37 CHEMNITZ UND JAN ULLRICH,3063707
2020-01-13 19:16,Gemischtes Hack,#37 CHEMNITZ UND JAN ULLRICH,103418
2020-01-13 19:32,Gemischtes Hack,#38 CAPPUCCIO,177801
2020-01-13 22:05,Gemischtes Hack,#38 CAPPUCCIO,355380
2020-01-13 22:29,Gemischtes Hack,#38 CAPPUCCIO,725295
2020-01-13 22:29,Gemischtes Hack,#39 WENIGER APPLAUS,3903
2020-01-13 22:34,Gemischtes Hack,#38 CAPPUCCIO,30783
2020-01-13 22:35,Fleetwood Mac,The Chain - 2004 Remaster,51875
2020-01-13 22:35,The Rolling Stones,"Paint It, Black",43235
2020-01-13 22:36,Jimi Hendrix,Hey Joe,9277
2020-01-13 22:36,Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",9005
2020-01-13 22:36,Moondog,Bird's Lament,385
2020-01-13 22:36,Dusty Springfield,Son Of A Preacher Man,3872
2020-01-13 22:37,Creedence Clearwater Revival,Bad Moon Rising,57508
2020-01-13 22:38,The Zombies,Time of the Season - Mono Version,44763
2020-01-13 22:40,Bee Gees,Spicks And Specks,171533
2020-01-13 22:46,Bobby Vee,Take Good Care Of My Baby - 1990 Remastered,911
2020-01-13 22:46,Bobby Vee,Take Good Care Of My Baby - 1990 Remastered,150866
2020-01-13 22:46,Bobby Vee,Run To Him - 1990 - Remastered,17156
2020-01-13 22:46,Bobby Vee,The Opposite,330
2020-01-13 22:47,Bobby Vee,Walkin' With My Angel - Remastered,2687
2020-01-13 22:49,Bee Gees,Spicks And Specks,122080
2020-01-13 23:21,Gemischtes Hack,#38 CAPPUCCIO,1341520
2020-01-14 10:39,Auf den Punkt,Politisch-melancholischer Jahresrückblick mit Kurt Kister,11008
2020-01-14 10:39,Gemischtes Hack,#38 CAPPUCCIO,1785251
2020-01-14 10:55,Gemischtes Hack,#39 WENIGER APPLAUS,321043
2020-01-14 11:10,Gemischtes Hack,#39 WENIGER APPLAUS,302823
2020-01-14 11:59,Frédéric Chopin,"Nocturne in C-Sharp Minor, B. 49",244066
2020-01-14 12:03,Yann Tiersen,Dispute,254812
2020-01-14 12:07,Frédéric Chopin,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,268426
2020-01-14 12:11,Frédéric Chopin,"Nocturne, Op. posth. in C-Sharp Minor: Lento",239973
2020-01-14 12:15,John Williams,Schindlers Liste: Thema (Schindlers Liste): Theme (Shindler's List),260453
2020-01-14 12:18,Yann Tiersen,"Comptine d'un autre été, l'après-midi",140733
