,Position,Track Name,Artist,Streams,URL,country
55,56,Gone,ROSÉ,141072,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA,RU
56,57,Infinite Tsukuyomi,ROCKET,140495,https://open.spotify.com/track/1w6yKhAgRhIaZhsWEay2H3,RU
57,58,Как дела,T-Fest,140426,https://open.spotify.com/track/4p57PjFO7tYSRrzbduMcuo,RU
58,59,Терминал,LILDRUGHILL,138834,https://open.spotify.com/track/5pDs6L02QkbwRLkDbOAzPt,RU
59,60,Save Your Tears,The Weeknd,138736,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,RU
60,61,Одинокий каннибал,Loqiemean,136957,https://open.spotify.com/track/5tQlQbsHUNe83kJjI4PPrT,RU
61,62,Шенген,lil krystalll,135986,https://open.spotify.com/track/3NHIHiSYSS8mhXqHXPDBUM,RU
62,63,Лилия (prod. by DooMee),MAYOT,135915,https://open.spotify.com/track/6oVJVkwrqYpbabgi39J49z,RU
63,64,Рэйман,FACE,134813,https://open.spotify.com/track/1VdRB7TUTWuRR7MaaAsiRX,RU
64,65,Горький вкус,Султан Лагучев,133630,https://open.spotify.com/track/1M5W7ohpFE7H9CVQVEikj6,RU
65,66,Проснулся В Темноте,GONE.Fludd,132841,https://open.spotify.com/track/1qtmO3AkZ2OBrPaxnaKnS6,RU
66,67,Крузак 200,BODIEV,132398,https://open.spotify.com/track/3JtOCVKrs786JHQ02tdP9m,RU
67,68,Дурак и молния,Korol i Shut,132097,https://open.spotify.com/track/1aAcW69jxv3pp3I84oZGqP,RU
68,69,Родной,LOBODA,131736,https://open.spotify.com/track/0ajFqM68Xa5bA0SsyhGU1M,RU
69,70,Ауди [prod. by Sqweezey],MAYOT,130381,https://open.spotify.com/track/7wgbL9jtSVoN1Gxe2o1MgR,RU
70,71,Friendly Fire - Prod. Avepack,Boulevard Depo,127905,https://open.spotify.com/track/5rsylaCMgQ5q5IjrZBGm8q,RU
71,72,Skamming Shit,uglystephan,127259,https://open.spotify.com/track/2dS2Uy1NvvZ9HLTDo5FGnL,RU
72,73,Minor,Miyagi & Andy Panda,127185,https://open.spotify.com/track/5m5rShfBQk4UpG7vpsEKzf,RU
73,74,Ратата,Konfuz,126298,https://open.spotify.com/track/14YjOD4J7N1FGZMt5N4eIs,RU
74,75,ДУРАКАМ ВЕЗЁТ,ФОГЕЛЬ,122352,https://open.spotify.com/track/0dJaravwFK2NGJfu9scOPe,RU
75,76,В новых адиках,FACE,121607,https://open.spotify.com/track/6VRdPW2Y7g7LufDPRXmbhr,RU
76,77,Номера,LSP,120466,https://open.spotify.com/track/5M2su06vvCxNYWkYktVmwC,RU
77,78,Это любовь,Scriptonite,120410,https://open.spotify.com/track/1P9oRiZJWnxe2pZmYUZ5eC,RU
78,79,FOR MULA,OBLADAET,120210,https://open.spotify.com/track/3mj1T05zpwgUZF7X3Ans1L,RU
79,80,Танцы,ssshhhiiittt!,117806,https://open.spotify.com/track/5hY09NvKjD3gBQS3qhriXD,RU
